label,total,generated,completion,avg_per_slide
08-23,0,0,0,0
08-24,5,5,1.0,49.4
08-25,7,7,1.0,120.4
08-26,1,1,1.0,66.7
08-27,8,7,0.875,185.0
08-28,3,3,1.0,128.4
08-29,0,0,0,0
08-30,0,0,0,0
08-31,3,3,1.0,92.3
09-01,9,8,0.8889,60.7
09-02,2,2,1.0,199.6
09-03,2,1,0.5,68.1
09-04,6,5,0.8333,144.3
09-05,0,0,0,0
09-06,0,0,0,0
09-08,1,0,0.0,0
09-07,1,1,1.0,76.2
09-10,2,1,0.5,321.9
09-09,5,5,1.0,160.7
09-11,3,3,1.0,197.4
09-12,0,0,0,0
09-13,0,0,0,0
09-15,3,1,0.3333,41.5
09-14,4,3,0.75,49.2
09-16,5,4,0.8,58.4
09-17,0,0,0,0
